,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,higher_x,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
20,GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,4,10,12,12,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,0,10,12,13
21,GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,4,0,yes,yes,yes,no,yes,no,5,1,2,1,1,3,8,7,8,8,mother,1,4,0,yes,yes,no,no,yes,no,5,1,2,1,1,3,4,10,10,10
22,GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,0,8,7,6,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,4,11,11,11
23,GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,father,1,2,3,no,yes,no,no,yes,no,3,3,2,1,1,3,0,6,7,0,father,1,2,1,no,yes,no,no,yes,no,3,3,2,1,1,3,2,11,11,11
24,GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,3,5,1,1,2,26,7,6,6,mother,2,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,11,10,10
25,GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,mother,1,3,0,no,yes,no,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
26,GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,15,15,15
27,GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,mother,1,1,0,no,no,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,mother,1,1,0,no,no,no,yes,yes,no,4,5,5,1,3,1,6,14,13,13
28,GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,4,13,14,15
29,GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,1,0,yes,yes,yes,no,yes,no,3,3,4,2,3,5,0,8,10,11,mother,1,1,0,yes,yes,no,no,yes,no,3,3,4,2,3,5,0,13,12,12
30,GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6,7,9,8,father,2,2,0,no,no,no,no,yes,yes,4,4,4,2,3,5,4,12,11,12
31,GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,father,1,2,1,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,father,1,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
32,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,3,3,3,1,2,2,0,10,8,9,mother,1,2,0,no,yes,no,no,yes,no,3,3,3,1,2,2,2,14,14,14
33,GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,mother,1,3,0,no,yes,no,yes,yes,no,4,2,2,1,1,5,2,13,13,13
34,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,0,16,16,15,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,14,14
35,GP,F,15,U,LE3,A,2,1,at_home,other,home,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,2,1,0,no,yes,no,yes,no,yes,4,4,2,1,1,5,0,11,10,10
36,GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,mother,1,1,0,no,no,yes,no,yes,no,5,3,4,4,4,1,6,10,13,13,mother,1,1,0,no,no,no,no,yes,no,5,3,4,4,4,1,0,13,12,13
37,GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,10,11,11
38,GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
39,GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,mother,1,2,3,yes,no,yes,no,yes,no,4,3,2,2,3,3,10,7,8,10,mother,1,2,0,yes,no,no,no,yes,no,4,3,2,2,3,3,6,12,13,12
40,GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,4,4,1,1,5,10,7,6,6,mother,1,2,0,no,yes,no,no,yes,no,4,4,4,1,1,5,4,12,11,11
41,GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,1,1,5,2,11,13,13,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,1,1,5,0,16,14,16
42,GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
43,GP,F,16,R,GT3,T,1,1,at_home,other,course,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,4,2,0,no,yes,no,no,yes,no,5,1,3,1,1,3,0,14,13,13
44,GP,F,16,R,GT3,T,1,1,other,services,reputation,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,2,1,0,no,yes,no,yes,yes,yes,3,3,3,1,2,1,8,12,11,11
45,GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes,mother,2,4,0,no,yes,yes,yes,yes,no,5,3,5,1,1,5,6,10,10,11,mother,2,4,0,no,yes,no,yes,yes,no,5,3,5,1,1,5,6,13,13,13
46,GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,father,1,3,1,yes,yes,no,yes,yes,no,4,1,2,1,1,2,0,7,10,10,father,1,3,0,yes,yes,no,yes,yes,no,4,1,2,1,1,2,4,11,11,11
47,GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,6,10,11,11,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,0,17,16,16
48,GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,mother,1,2,0,no,no,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,mother,1,2,0,no,no,no,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
49,GP,F,16,U,GT3,A,2,2,other,other,home,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,1,1,1,no,no,no,no,yes,no,5,3,4,1,1,5,12,13,11,11
50,GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes,mother,1,2,0,yes,yes,yes,no,yes,no,3,3,4,1,1,4,0,12,13,14,mother,1,2,0,yes,yes,no,no,yes,no,3,3,4,1,1,4,0,13,13,13
51,GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes,mother,1,2,3,no,yes,yes,no,yes,no,2,3,3,2,2,4,5,7,7,7,mother,1,2,0,no,yes,no,no,yes,no,2,3,3,2,2,4,2,11,11,12
52,GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,other,2,1,2,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,other,2,1,0,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10
53,GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,father,1,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,16,12,11,11,father,1,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,12,15,13,14
54,GP,F,16,U,GT3,A,4,1,other,other,home,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,1,2,0,no,no,no,yes,yes,yes,5,3,3,1,2,5,0,14,13,13
55,GP,F,16,U,GT3,T,1,1,at_home,other,home,yes,no,mother,2,1,0,no,yes,yes,no,yes,no,4,3,2,1,4,5,6,9,9,10,mother,2,1,0,no,yes,no,no,yes,no,4,3,2,1,4,5,2,12,13,13
56,GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
57,GP,F,16,U,GT3,T,1,2,other,other,course,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,1,1,0,no,no,no,no,no,no,5,3,5,1,2,5,4,12,11,11
58,GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes,mother,1,2,3,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,8,7,0,mother,1,2,0,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,14,13,13
59,GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,5,1,1,5,2,8,9,10,mother,1,2,0,no,yes,no,no,yes,yes,4,3,5,1,1,5,0,13,12,12
60,GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,1,0,no,no,no,no,yes,yes,4,5,2,1,1,5,20,13,12,12,mother,1,1,0,no,no,no,no,yes,yes,4,5,2,1,1,5,4,9,10,10
61,GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,6,10,13,13,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,12,8,10,10
62,GP,F,16,U,GT3,T,2,2,other,other,home,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,5,1,5,1,1,4,0,6,7,0,mother,1,2,0,no,yes,no,no,yes,no,5,1,5,1,1,4,0,12,12,13
63,GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes,mother,1,2,0,no,no,yes,no,yes,yes,5,4,4,1,1,5,0,8,7,8,mother,1,2,0,no,no,no,no,yes,yes,5,4,4,1,1,5,0,12,11,11
64,GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,4,0,no,no,yes,no,yes,yes,5,2,3,1,3,3,0,11,11,11,mother,1,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,13,13,13
65,GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes,mother,2,2,0,no,no,yes,yes,yes,no,3,4,4,1,4,5,2,13,13,11,mother,2,2,0,no,no,no,yes,yes,no,3,4,4,1,4,5,0,13,12,14
66,GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,mother,1,1,2,no,yes,yes,no,yes,no,1,2,2,1,3,5,14,6,9,8,mother,1,1,0,no,yes,no,no,yes,no,1,2,2,1,3,5,6,10,11,12
67,GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no,mother,1,2,0,yes,yes,yes,yes,yes,no,4,4,3,1,3,4,6,8,10,10,mother,1,2,0,yes,yes,no,yes,yes,no,4,4,3,1,3,4,4,11,12,12
68,GP,F,16,U,GT3,T,2,3,services,services,course,yes,yes,mother,1,2,0,no,no,no,no,yes,no,4,3,3,1,1,2,10,11,12,13,mother,1,2,0,no,no,no,no,yes,no,4,3,3,1,1,2,6,12,12,13
69,GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes,mother,1,2,0,yes,no,no,no,yes,no,2,3,1,1,1,3,2,16,16,17,mother,1,2,0,yes,no,no,no,yes,no,2,3,1,1,1,3,0,13,13,14
70,GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,mother,1,4,0,yes,yes,yes,no,yes,no,4,3,3,1,2,5,4,7,7,6,mother,1,4,0,yes,yes,no,no,yes,no,4,3,3,1,2,5,0,10,9,10
71,GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,1,2,2,1,2,1,14,12,13,12,mother,1,2,0,no,yes,no,no,yes,no,1,2,2,1,2,1,8,14,15,16
72,GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,2,5,4,6,10,10,father,1,2,0,no,yes,no,no,yes,no,4,3,2,1,2,5,0,11,13,13
73,GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,3,4,0,7,7,8,mother,1,3,0,no,yes,no,no,yes,yes,4,3,3,1,3,4,2,9,11,11
74,GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,4,8,10,10,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,2,13,14,14
75,GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,mother,1,2,0,yes,yes,no,yes,yes,no,4,3,3,2,4,5,4,11,11,11
76,GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,12,5,5,5,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,14,12,11,11
77,GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes,father,1,2,0,no,no,yes,no,yes,yes,4,2,3,1,1,3,0,14,15,16,father,1,2,0,no,no,no,no,yes,yes,4,2,3,1,1,3,0,17,17,18
78,GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,2,3,1,1,5,2,15,16,16,mother,1,2,0,no,yes,yes,no,yes,no,4,2,3,1,1,5,2,16,15,16
79,GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,mother,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,13,14,14
80,GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,3,5,1,5,2,2,16,16,16,mother,1,2,0,no,yes,no,yes,yes,no,4,3,5,1,5,2,2,14,14,15
81,GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,mother,1,3,0,yes,yes,yes,no,yes,no,5,3,5,1,1,3,0,7,9,8,mother,1,3,0,yes,yes,no,no,yes,no,5,3,5,1,1,3,2,12,13,13
82,GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,mother,1,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,14,13,13
83,GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes,mother,1,2,0,no,no,yes,yes,yes,yes,1,3,2,1,1,1,10,11,12,13,mother,1,2,0,no,no,no,yes,yes,yes,1,3,2,1,1,1,4,14,15,15
84,GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,4,4,2,1,1,3,0,14,14,14,mother,1,2,0,no,yes,no,no,yes,yes,4,4,2,1,1,3,0,16,16,17
85,GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,4,14,14,14,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,6,17,17,17
86,GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
87,GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,13,13,14
88,GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,2,1,1,5,0,13,13,14,mother,1,3,0,no,yes,no,yes,yes,no,5,3,2,1,1,5,4,15,16,16
89,GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,12,11,12,11,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,13,12,13
90,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,mother,1,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,2,14,14,13,mother,1,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,4,10,11,11
91,GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,4,8,10,9,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,0,13,13,10
92,GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,4,8,7,6,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,6,13,11,11
93,GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,10,9,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,11,11
94,GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,mother,2,2,1,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,mother,2,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
95,GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,mother,3,2,0,no,yes,yes,no,yes,no,4,3,3,2,3,4,2,12,13,13,mother,3,2,0,no,yes,no,no,yes,no,4,3,3,2,3,4,0,14,13,13
96,GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,father,2,2,0,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,father,2,2,0,no,yes,no,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
97,GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,4,7,6,6,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,0,12,13,12
98,GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,2,2,0,no,yes,yes,yes,yes,no,4,4,5,1,1,4,4,10,11,9,mother,2,2,0,no,yes,no,yes,yes,no,4,4,5,1,1,4,0,14,14,15
99,GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,15,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,16
100,GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,mother,1,3,0,no,yes,no,yes,yes,yes,5,4,5,1,1,4,2,15,15,14
101,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,5,2,1,2,3,0,9,9,10,mother,1,2,0,no,yes,no,no,yes,no,4,5,2,1,2,3,0,11,10,11
102,GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,2,3,2,4,9,10,10,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,2,3,2,0,14,14,16
103,GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no,mother,3,2,0,no,no,no,yes,yes,no,2,1,1,1,1,3,2,13,11,11,mother,3,2,0,no,no,no,yes,yes,no,2,1,1,1,1,3,2,13,13,13
104,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,2,5,1,2,5,2,6,6,6,mother,2,2,0,no,yes,no,yes,yes,no,4,2,5,1,2,5,0,11,10,11
105,GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,5,3,2,1,2,3,18,7,6,6,mother,1,1,0,no,yes,no,no,yes,no,5,3,2,1,2,3,21,13,13,13
106,GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes,father,1,3,0,no,yes,no,no,yes,yes,4,4,3,1,1,5,7,12,14,14,father,1,3,0,no,yes,no,no,yes,yes,4,4,3,1,1,5,0,15,15,15
107,GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes,father,1,3,0,no,yes,yes,yes,yes,no,4,3,4,2,5,5,0,11,11,10,father,1,3,0,no,yes,no,yes,yes,no,4,3,4,2,5,5,2,15,15,17
108,GP,F,17,R,GT3,T,4,2,other,other,course,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,1,3,0,no,yes,no,yes,yes,no,4,3,4,1,3,5,2,11,12,14
109,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,2,3,0,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,7,7,mother,2,3,0,no,yes,no,yes,yes,yes,4,4,2,1,1,4,0,11,12,12
